Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,Audio Watch 9999,Cape Net,Coos Net,CT Statewide,Local 9,ME Statewide,MA Statewide,NE TAC1,NE TAC2,New Brunswick,NewEng Wide 3181,NH Statewide,North America 3,Northeast 3172,NY WIDE,Parrot 9998,Region North 8,RI Statewide,SKYWARN/911,TAC 310,TAC 311,TAC 312,UA113,UA123,VT Statewide,WorldWide 1,WW English 13
ME S Boothbay,K1XI,Turbo,145.2,144.6,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME S Portland,W1IMD,Turbo,145.34,144.74,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME S Shapleigh,K1DQ,Turbo,145.11,144.51,4,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME S Topsham,N1IPA,Turbo,145.19,144.59,13,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME C Augusta,KQ1L,Turbo,145.17,144.57,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME C Buckfield,K1YFY,Turbo,145.32,144.72,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME C Camden,K1XI,Turbo,145.37,144.77,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME C Dresden,N1UGR,Turbo,145.43,144.83,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME C Farmington,W1BHR,Turbo,442.4,447.4,11,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME C Knox,W1EMA,Turbo,145.42,144.82,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME C Litchfield,N1ITR,Turbo,146.7,146.1,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME C New Sharon,W1BHR,Turbo,145.14,144.54,11,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME C Sydney,KQ1L,Turbo,145.24,144.64,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME N Calais,W1LH,Turbo,147.045,147.645,1,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME N Dexter,KB1UAS,Turbo,145.22,144.62,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME N Fort Kent,KC1FRJ,Turbo,145.2,144.6,12,1,-,-,-,2,2,-,1,2,2,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME N Gouldsboro,KC1FRJ,Turbo,145.21,144.61,12,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME N Holden,N1ME,Turbo,145.31,144.71,10,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME N Kibby,W1FCA,Turbo,145.12,144.52,11,1,-,-,-,2,2,-,1,2,-,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME N Lincoln,KC1FRJ,Turbo,145.35,144.75,12,1,-,-,-,2,2,-,1,2,2,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME N Presque Is,KC1FRJ,Turbo,145.18,144.58,12,1,-,-,-,2,2,-,1,2,2,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
ME N Smyrna,KC1FRJ,Turbo,147.09,147.69,12,1,-,-,-,2,2,-,1,2,2,2,2,1,-,-,1,2,-,1,1,1,-,1,1,2,1,1
