Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,Audio Watch 9999,Cape Net,Coos Net,CT Statewide,Local 9,ME Statewide,MA Statewide,NE TAC1,NE TAC2,New Brunswick,NewEng Wide 3181,NH Statewide,North America 3,Northeast 3172,NY WIDE,Parrot 9998,Region North 8,RI Statewide,SKYWARN/911,TAC 310,TAC 311,TAC 312,UA113,UA123,VT Statewide,WorldWide 1,WW English 13
NH N Concord,KB1CFL,Turbo,145.42,144.82,7,-,-,-,-,2,-,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH N Clarksville,W1COS,Turbo,145.25,144.65,0,-,-,2,-,2,-,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,1,1,1
NH N Gunstock VHF,K1RE,Turbo,145.36,144.76,3,-,-,-,-,2,-,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH N Gunstock UHF,K1RJZ,Turbo,447.875,442.875,9,-,-,-,-,2,-,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH N Gilford,K1RE,Turbo,449.425,444.425,3,-,-,-,-,2,-,2,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,2,1,1
NH N Wakefield,K1LTM,Turbo,145.280,144.680,7,-,-,-,-,2,1,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH N West Ossipee,K1LTM,Turbo,147.075,147.675,6,-,-,-,-,2,1,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH N Campton,KC1KAM,Turbo,145.18,144.58,6,-,-,-,-,2,-,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH N Mt Washington,W1IMD,Turbo,448.975,443.975,2,-,-,2,-,2,1,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,1,1,1
NH N North Conway,W1MWV,Turbo,448.775,443.775,2,-,-,-,-,2,1,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH S Keene,WA1ZYX,Turbo,444.65,449.65,1,-,-,-,-,2,-,2,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,2,1,1
NH S Crotched Mtn,WA1ZYX,Turbo,446.975,441.975,10,-,-,-,-,2,-,1,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,1,1,1
NH S Somersworth,W1WNS,Turbo,145.18,144.58,5,-,-,-,-,2,-,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH S Rochester,K1LTM,Turbo,145.24,144.64,3,-,-,-,-,2,-,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH S Hudson VHF,K1MOT,Turbo,145.26,144.66,5,-,-,-,-,2,-,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH S Hudson UHF,K1MOT,Turbo,447.725,442.725,1,-,-,-,2,2,-,1,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,1,1,1
NH S Hudson,NE1B,Turbo,147.105,146.505,0,-,2,-,1,2,1,2,1,2,-,-,2,-,-,-,1,-,-,1,-,-,-,-,-,2,-,-
NH S Derry,K1QVC,Turbo,145.31,144.71,1,-,-,-,-,2,-,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH S Chester,K1OX,Turbo,145.19,144.59,9,-,-,-,-,2,-,2,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH S Bow,K1OX,Turbo,145.17,144.57,8,-,-,-,-,2,-,-,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
NH S Goffstown,KM3T,Turbo,145.22,144.62,11,-,-,-,-,2,-,1,1,2,-,2,2,1,1,-,1,2,-,1,1,1,-,1,1,-,1,1
